Province_State,Admin2,Date,Value
Illinois,Will,2020-07-30,8352
Illinois,Will,2020-07-31,8443
Illinois,Will,2020-08-01,8502
Illinois,Will,2020-08-02,8592
Illinois,Will,2020-08-03,8650
Illinois,Will,2020-08-04,8729
Illinois,Will,2020-08-05,8821
Illinois,Will,2020-08-06,8932
Illinois,Will,2020-08-07,9053
Illinois,Will,2020-08-08,9151
Illinois,Will,2020-08-09,9236
Illinois,Will,2020-08-10,9315
Illinois,Will,2020-08-11,9413
Illinois,Will,2020-08-12,9486
Illinois,Will,2020-08-13,9576
Illinois,Will,2020-08-14,9692
Illinois,Will,2020-08-15,9804
Illinois,Will,2020-08-16,9874
Illinois,Will,2020-08-17,10013
Illinois,Will,2020-08-18,10102
Illinois,Will,2020-08-19,10239
Illinois,Will,2020-08-20,10357
Illinois,Will,2020-08-21,10501
Illinois,Will,2020-08-22,10614
Illinois,Will,2020-08-23,10760
Illinois,Will,2020-08-24,10830
Illinois,Will,2020-08-25,10927
Illinois,Will,2020-08-26,11063
Illinois,Will,2020-08-27,11136
Illinois,Will,2020-08-28,11278
Illinois,Will,2020-08-29,11371
Illinois,Will,2020-08-30,11447
Illinois,Will,2020-08-31,11546
Illinois,Will,2020-09-01,11619
Illinois,Will,2020-09-02,11676
Illinois,Will,2020-09-03,11737
Illinois,Will,2020-09-04,12047
Illinois,Will,2020-09-05,12189
Illinois,Will,2020-09-06,12260
Illinois,Will,2020-09-07,12337
Illinois,Will,2020-09-08,12415
Illinois,Will,2020-09-09,12505
Illinois,Will,2020-09-10,12591
Illinois,Will,2020-09-11,12681
Illinois,Will,2020-09-12,12770
Illinois,Will,2020-09-13,12820
Illinois,Will,2020-09-14,12888
Illinois,Will,2020-09-15,12955
Illinois,Will,2020-09-16,13044
Illinois,Will,2020-09-17,13130
Illinois,Will,2020-09-18,13211
Illinois,Will,2020-09-19,13330
Illinois,Will,2020-09-20,13416
Illinois,Will,2020-09-21,13451
Illinois,Will,2020-09-22,13539
Illinois,Will,2020-09-23,13612
